순위,선수명,팀명,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,Season,Category,WHIP
1,박철순,OB,1.84,36,15,2,24,4,7,0,0.857,871,224 2/3,151,7,67,6,108,60,46,1982,pitcher,
2,하기룡,MBC,2.30,43,7,4,13,10,9,0,0.565,781,191 2/3,160,10,53,13,108,68,49,1982,pitcher,
3,권영호,삼성,2.37,32,6,3,15,5,2,0,0.750,711,178 2/3,139,18,52,7,72,57,47,1982,pitcher,
4,황규봉,삼성,2.47,48,8,2,15,11,11,0,0.577,864,222 1/3,189,11,34,6,99,78,61,1982,pitcher,
5,김성한,해태,2.79,26,3,1,10,5,1,0,0.667,438,106 1/3,88,6,45,6,49,44,33,1982,pitcher,
6,성낙수,삼성,2.81,28,5,0,8,3,2,0,0.727,500,125,119,15,23,6,56,44,39,1982,pitcher,
7,이선희,삼성,2.91,38,4,3,15,7,1,0,0.682,698,167,152,11,73,9,73,67,54,1982,pitcher,
8,노상수,롯데,2.94,44,12,2,14,19,2,0,0.424,954,232 1/3,216,18,59,10,141,97,76,1982,pitcher,
9,김용남,해태,3.09,33,8,1,9,12,0,0,0.429,740,175,177,12,42,9,85,83,60,1982,pitcher,
10,유종겸,MBC,3.25,32,3,1,6,5,3,0,0.545,476,113 2/3,95,11,53,1,86,48,41,1982,pitcher,
11,선우대영,OB,3.39,27,6,1,7,6,0,0,0.538,566,138,139,8,31,4,65,64,52,1982,pitcher,
12,이길환,MBC,3.61,27,5,2,7,7,0,0,0.500,493,117 1/3,114,8,34,9,54,59,47,1982,pitcher,
13,이광권,MBC,3.72,31,2,1,7,4,2,0,0.636,489,116,105,8,46,11,57,62,48,1982,pitcher,
14,천창호,롯데,3.83,37,8,1,7,13,0,0,0.350,724,173 2/3,173,18,52,7,92,85,74,1982,pitcher,
15,방수원,해태,3.85,34,2,0,6,7,1,0,0.462,664,154 1/3,164,10,48,8,63,84,66,1982,pitcher,
16,황태환,OB,3.86,27,2,0,6,5,3,0,0.545,365,86 1/3,76,12,37,11,42,43,37,1982,pitcher,
17,이상윤,해태,3.88,23,5,0,7,5,0,0,0.583,442,102,87,8,63,1,58,51,44,1982,pitcher,
18,김문희,롯데,4.12,24,4,1,4,8,0,0,0.333,411,91 2/3,113,10,31,4,18,55,42,1982,pitcher,
19,박상열,OB,4.22,25,3,0,10,5,0,0,0.667,480,111,120,7,34,9,35,70,52,1982,pitcher,
20,강만식,해태,4.44,29,6,0,5,11,1,0,0.313,642,144,152,11,69,10,86,93,71,1982,pitcher,
21,정순명,MBC,4.47,25,1,0,7,5,1,0,0.583,416,92 2/3,105,9,38,8,47,62,46,1982,pitcher,
22,오문현,삼미,4.85,22,1,0,2,10,0,0,0.167,459,102,115,11,34,14,22,69,55,1982,pitcher,
23,계형철,OB,4.88,21,3,1,4,4,0,0,0.500,416,90 1/3,73,6,76,2,43,59,49,1982,pitcher,
24,이진우,롯데,5.27,22,1,0,5,2,1,0,0.714,373,82,90,10,51,5,49,56,48,1982,pitcher,
25,김재현,삼미,6.13,47,2,0,6,19,1,0,0.240,890,192 1/3,268,18,63,7,62,154,131,1982,pitcher,
26,감사용,삼미,6.46,41,1,0,1,14,1,0,0.067,615,133 2/3,179,25,46,2,23,106,96,1982,pitcher,
27,인호봉,삼미,6.56,38,3,0,5,10,2,0,0.333,636,133,149,19,96,19,41,129,97,1982,pitcher,
28,김동철,삼미,7.06,32,0,0,1,9,1,0,0.100,441,93,125,15,52,6,19,84,73,1982,pitcher,
1,하기룡,MBC,2.34,36,6,2,10,11,4,0,0.476,696,173 1/3,137,4,48,8,73,57,45,1983,pitcher,
2,장명부,삼미,2.36,60,36,6,30,16,6,0,0.652,1712,427 1/3,388,19,106,16,220,138,112,1983,pitcher,
3,유종겸,MBC,2.40,34,4,0,8,7,5,0,0.533,560,139,103,8,50,5,74,45,37,1983,pitcher,
4,박상열,OB,2.49,30,7,1,10,9,0,0,0.526,716,173 1/3,162,11,44,14,68,57,48,1983,pitcher,
5,이길환,MBC,2.51,33,10,4,15,7,4,0,0.682,845,208 1/3,184,8,56,11,85,68,58,1983,pitcher,
6,이광권,MBC,2.51,22,3,0,7,5,0,0,0.583,411,100 1/3,96,7,31,4,35,37,28,1983,pitcher,
7,김시진,삼성,2.55,37,17,5,17,12,1,0,0.586,950,229 1/3,189,8,95,14,154,78,65,1983,pitcher,
8,황태환,OB,2.65,39,0,0,6,6,14,0,0.500,449,105 1/3,105,11,40,5,60,46,31,1983,pitcher,
9,이상윤,해태,2.67,46,14,3,20,10,6,0,0.667,944,229 1/3,181,10,95,4,178,83,68,1983,pitcher,
10,김용남,해태,2.83,36,6,3,13,10,1,0,0.565,731,181 1/3,171,12,30,5,80,67,57,1983,pitcher,
11,최동원,롯데,2.89,38,16,1,9,16,4,0,0.360,863,208 2/3,202,17,51,8,148,89,67,1983,pitcher,
12,오영일,MBC,2.91,36,7,0,10,9,4,0,0.526,704,173,147,8,59,8,69,62,56,1983,pitcher,
13,임호균,삼미,3.03,35,15,1,12,15,2,0,0.444,954,234 2/3,231,16,52,6,86,94,79,1983,pitcher,
14,주동식,해태,3.14,30,3,2,7,7,3,0,0.500,599,143 1/3,133,14,38,9,56,60,50,1983,pitcher,
15,배경환,롯데,3.18,37,4,2,7,4,0,0,0.636,637,150,159,9,32,5,62,72,53,1983,pitcher,
16,권영호,삼성,3.20,32,5,0,6,10,7,0,0.375,556,135,113,7,48,6,49,58,48,1983,pitcher,
17,양일환,삼성,3.22,32,4,0,9,7,1,0,0.563,738,176 1/3,155,12,63,11,62,82,63,1983,pitcher,
18,계형철,OB,3.44,29,9,3,9,12,0,0,0.429,816,193 1/3,190,11,72,13,86,97,74,1983,pitcher,
19,김문희,롯데,3.48,34,5,0,8,10,0,0,0.444,649,155 1/3,154,12,53,3,46,70,60,1983,pitcher,
20,황규봉,삼성,3.67,30,5,1,6,4,3,0,0.600,548,130,136,10,36,10,45,66,53,1983,pitcher,
21,이선희,삼성,3.76,29,3,1,5,13,0,0,0.278,548,127,122,17,59,7,57,66,53,1983,pitcher,
22,노상수,롯데,4.14,42,4,1,8,11,3,0,0.421,733,169 2/3,179,17,52,12,69,94,78,1983,pitcher,
23,장호연,OB,4.23,34,3,1,6,17,2,0,0.261,681,155 1/3,165,10,67,14,31,93,73,1983,pitcher,
1,장호연,OB,1.58,31,0,0,5,3,1,0,0.625,407,102 1/3,77,3,35,4,47,34,18,1984,pitcher,
2,계형철,OB,2.06,29,6,1,14,4,0,0,0.778,701,174 2/3,135,8,63,7,92,44,40,1984,pitcher,
3,김일융,삼성,2.27,38,14,3,16,10,3,0,0.615,907,222,191,7,78,6,155,68,56,1984,pitcher,
4,최동원,롯데,2.40,51,14,1,27,13,6,0,0.675,1132,284 2/3,228,18,68,14,223,91,76,1984,pitcher,
5,김봉근,MBC,2.52,32,7,1,9,7,2,0,0.563,681,171 1/3,146,9,37,6,61,62,48,1984,pitcher,
6,박상열,OB,2.57,30,1,0,12,7,0,0,0.632,532,133,108,8,49,10,47,42,38,1984,pitcher,
7,하기룡,MBC,2.82,30,11,3,15,8,1,0,0.652,751,178 2/3,171,7,59,13,81,70,56,1984,pitcher,
8,윤석환,OB,2.84,57,0,0,12,8,25,0,0.600,581,146,108,17,43,3,111,49,46,1984,pitcher,
9,최일언,OB,2.84,37,1,0,9,6,3,0,0.600,695,167 2/3,145,6,65,8,86,60,53,1984,pitcher,
10,이상윤,해태,2.85,40,8,1,10,13,8,0,0.435,876,211 2/3,186,14,73,10,128,75,67,1984,pitcher,
11,임호균,롯데,2.95,27,9,0,10,9,0,0,0.526,692,161 2/3,151,9,80,3,44,64,53,1984,pitcher,
12,김용남,해태,3.05,31,6,2,7,11,1,0,0.389,547,132 2/3,133,10,19,1,68,58,45,1984,pitcher,
13,오영일,MBC,3.08,40,14,2,15,14,3,0,0.517,1004,239 2/3,239,16,79,13,93,92,82,1984,pitcher,
14,김진욱,OB,3.13,25,5,1,6,11,2,0,0.353,508,118,107,5,58,10,43,53,41,1984,pitcher,
15,김시진,삼성,3.18,39,11,2,19,11,2,0,0.633,910,215,178,14,112,13,154,94,76,1984,pitcher,
16,황규봉,삼성,3.25,30,2,1,10,2,4,0,0.833,452,108,109,4,24,8,48,42,39,1984,pitcher,
17,강만식,해태,3.26,28,3,0,11,4,0,0,0.733,540,129 2/3,124,14,36,7,60,58,47,1984,pitcher,
18,권영호,삼성,3.28,29,2,0,6,8,2,0,0.429,574,137 1/3,124,8,57,4,52,53,50,1984,pitcher,
19,장명부,삼미,3.30,45,15,2,13,20,7,0,0.394,1074,261 2/3,261,20,66,6,145,111,96,1984,pitcher,
20,조도연,해태,3.34,35,2,0,4,6,2,0,0.400,547,129 1/3,122,11,44,3,63,61,48,1984,pitcher,
21,배경환,롯데,3.48,35,2,0,6,5,2,0,0.545,516,121 2/3,135,10,28,5,59,57,47,1984,pitcher,
22,박정후,삼미,3.50,31,2,0,5,11,0,0,0.313,586,139,129,9,70,11,60,58,54,1984,pitcher,
23,유종겸,MBC,3.53,38,6,0,8,10,4,0,0.444,770,183 2/3,180,13,52,5,85,79,72,1984,pitcher,
24,최계훈,삼미,3.54,34,4,0,8,8,9,0,0.500,589,137 1/3,132,9,55,6,99,67,54,1984,pitcher,
25,황기선,해태,3.76,38,2,0,4,7,1,0,0.364,536,124 1/3,110,10,55,9,65,70,52,1984,pitcher,
26,정성만,삼미,4.86,29,3,0,8,10,1,0,0.444,666,150,149,20,83,6,67,86,81,1984,pitcher,
1,선동열,해태,1.70,25,1,0,7,4,8,0,0.636,424,111,74,2,20,3,103,30,21,1985,pitcher,
2,최동원,롯데,1.92,42,14,4,20,9,8,0,0.690,865,225,170,7,41,8,161,60,48,1985,pitcher,
3,김시진,삼성,2.00,47,10,2,25,5,10,0,0.833,1064,269 2/3,172,8,121,15,201,63,60,1985,pitcher,
4,이선희,MBC,2.28,28,4,1,5,7,2,0,0.417,569,138,111,5,55,4,48,44,35,1985,pitcher,
5,최일언,OB,2.43,38,2,0,10,14,3,0,0.417,610,144 2/3,119,4,75,5,88,57,39,1985,pitcher,
6,김정행,롯데,2.73,19,5,2,7,5,0,0,0.583,482,115 1/3,103,6,54,4,55,42,35,1985,pitcher,
7,박동수,롯데,2.73,32,7,2,9,10,0,0,0.474,695,168,158,11,36,17,84,69,51,1985,pitcher,
8,계형철,OB,2.78,34,8,0,11,11,2,0,0.500,789,194,165,17,63,7,84,71,60,1985,pitcher,
9,김일융,삼성,2.79,34,11,3,25,6,0,0,0.806,920,226,200,13,77,5,107,87,70,1985,pitcher,
10,하기룡,MBC,2.92,26,4,0,5,10,2,0,0.333,468,111,103,3,53,4,31,46,36,1985,pitcher,
11,유종겸,MBC,2.99,33,3,0,10,8,1,0,0.556,547,135 1/3,111,10,52,5,40,52,45,1985,pitcher,
12,김진욱,OB,3.02,30,4,2,10,8,0,0,0.556,605,143,134,7,55,10,57,56,48,1985,pitcher,
13,황규봉,삼성,3.04,34,4,0,14,7,4,0,0.667,679,165 2/3,158,12,38,4,54,66,56,1985,pitcher,
14,정삼흠,MBC,3.13,41,7,3,9,12,5,0,0.429,801,192 2/3,169,13,72,12,100,72,67,1985,pitcher,
15,임호균,롯데,3.23,27,3,1,10,10,0,0,0.500,617,145,136,8,77,0,43,63,52,1985,pitcher,
16,강만식,해태,3.31,41,5,2,13,8,0,0,0.619,803,198 2/3,178,22,44,19,63,78,73,1985,pitcher,
17,김봉근,MBC,3.34,21,4,0,2,7,0,0,0.222,461,113 1/3,110,16,27,5,37,47,42,1985,pitcher,
18,윤석환,OB,3.34,41,1,0,5,1,6,0,0.833,453,110 1/3,114,13,30,5,44,48,41,1985,pitcher,
19,문희수,해태,3.48,39,2,0,12,8,1,0,0.600,631,144 2/3,159,11,48,5,64,69,56,1985,pitcher,
20,장호연,OB,3.50,29,5,0,7,4,1,0,0.636,531,128 2/3,110,9,63,4,46,61,50,1985,pitcher,
21,권영호,삼성,3.50,54,0,0,6,6,26,0,0.500,746,174 2/3,170,14,68,3,82,75,68,1985,pitcher,
22,오영일,MBC,3.53,28,3,0,8,8,1,0,0.500,555,127 1/3,132,6,47,7,43,56,50,1985,pitcher,
23,최계훈,청보,3.56,20,9,1,6,6,0,0,0.500,505,118 2/3,106,13,55,6,54,51,47,1985,pitcher,
24,정은배,청보,3.64,29,5,1,7,9,2,0,0.438,607,141,142,14,60,8,45,66,57,1985,pitcher,
25,조도연,해태,3.71,36,1,0,4,6,2,0,0.400,522,123 2/3,131,10,35,5,46,56,51,1985,pitcher,
26,김용남,해태,4.48,43,1,0,11,6,8,0,0.647,560,134 2/3,147,14,26,3,74,74,67,1985,pitcher,
27,정성만,청보,5.00,37,11,1,7,14,3,0,0.333,767,172 2/3,207,19,64,7,56,103,96,1985,pitcher,
28,장명부,청보,5.30,45,11,0,11,25,5,0,0.306,1117,246,303,22,100,12,128,175,145,1985,pitcher,
1,선동열,해태,0.99,39,19,8,24,6,6,0,0.800,972,262 2/3,153,2,52,7,214,38,29,1986,pitcher,
2,최동원,롯데,1.55,39,17,4,19,14,2,0,0.576,1039,267,204,7,55,6,208,60,46,1986,pitcher,
3,최일언,OB,1.58,33,13,6,19,4,2,0,0.826,881,221 2/3,140,2,101,6,101,49,39,1986,pitcher,
4,김용수,MBC,1.67,60,0,0,9,9,26,0,0.500,694,178,128,4,59,3,74,40,33,1986,pitcher,
5,김건우,MBC,1.80,37,9,2,18,6,0,0,0.750,891,229 2/3,170,6,62,9,102,62,46,1986,pitcher,
6,장호연,OB,1.90,31,10,4,13,9,3,0,0.591,659,165 2/3,136,7,45,6,44,46,35,1986,pitcher,
7,박노준,OB,2.28,33,1,0,5,6,7,0,0.455,442,110 1/3,91,4,36,2,61,34,28,1986,pitcher,
8,성준,삼성,2.36,29,6,1,15,5,2,0,0.750,607,149,135,9,40,3,60,48,39,1986,pitcher,
9,김시진,삼성,2.47,30,11,1,16,6,3,0,0.727,822,196 2/3,161,6,110,6,87,68,54,1986,pitcher,
10,김일융,삼성,2.53,19,7,2,13,4,0,0,0.765,573,138 2/3,120,8,45,2,60,47,39,1986,pitcher,
11,박동수,롯데,2.54,30,5,0,8,7,3,0,0.533,613,148 2/3,133,2,31,13,68,53,42,1986,pitcher,
12,이상군,빙그레,2.63,35,19,4,12,17,1,0,0.414,972,243 1/3,216,17,43,11,104,88,71,1986,pitcher,
13,김정수,해태,2.65,41,2,0,9,6,5,0,0.600,547,125 2/3,93,5,89,4,92,53,37,1986,pitcher,
14,권영호,삼성,2.77,38,3,1,7,7,19,0,0.500,593,146 1/3,120,12,53,2,74,47,45,1986,pitcher,
15,차동철,해태,2.82,33,3,2,10,4,3,0,0.714,535,131,134,4,24,5,35,46,41,1986,pitcher,
16,진동한,삼성,2.88,24,2,0,9,4,4,0,0.692,457,109 1/3,99,8,41,3,37,42,35,1986,pitcher,
17,김정행,롯데,2.90,20,6,2,7,7,0,0,0.500,499,118,94,5,61,7,51,40,38,1986,pitcher,
18,이상윤,해태,2.97,21,3,1,10,5,0,0,0.667,478,115,91,7,51,3,48,45,38,1986,pitcher,
19,오영일,MBC,3.00,33,0,0,12,8,0,0,0.600,569,132,136,9,55,4,43,54,44,1986,pitcher,
20,유종겸,MBC,3.03,41,1,1,10,7,0,0,0.588,599,145 2/3,131,8,49,5,84,61,49,1986,pitcher,
21,한희민,빙그레,3.13,29,12,3,9,13,0,0,0.409,700,175 1/3,136,18,49,10,123,67,61,1986,pitcher,
22,계형철,OB,3.16,22,3,1,5,7,0,0,0.417,452,111,94,8,50,2,47,48,39,1986,pitcher,
23,김기태,청보,3.18,42,6,1,9,14,5,0,0.391,746,175 1/3,158,12,66,17,109,73,62,1986,pitcher,
24,김신부,청보,3.21,40,10,3,10,10,0,0,0.500,965,233,220,12,57,21,89,93,83,1986,pitcher,
25,손문곤,빙그레,3.38,28,3,1,2,5,0,0,0.286,495,117,118,6,47,3,36,51,44,1986,pitcher,
26,최계훈,청보,3.67,32,7,1,6,14,2,0,0.300,688,159 1/3,164,12,67,5,62,79,65,1986,pitcher,
27,장명부,빙그레,4.98,22,3,0,1,18,0,0,0.053,493,108 1/3,130,12,41,9,48,71,60,1986,pitcher,
1,선동열,해태,0.89,31,7,4,14,2,6,0,0.875,604,162,89,2,47,3,144,21,16,1987,pitcher,
2,김용수,MBC,1.98,52,0,0,9,5,24,0,0.643,560,141,112,6,36,4,71,34,31,1987,pitcher,
3,문희수,해태,2.14,22,4,1,7,7,2,0,0.500,429,109 1/3,89,5,27,4,37,34,26,1987,pitcher,
4,한희민,빙그레,2.36,30,14,3,13,8,4,0,0.619,798,206,156,7,44,4,116,64,54,1987,pitcher,
5,이상군,빙그레,2.55,33,24,3,18,11,2,0,0.621,1006,246 2/3,233,13,52,10,85,83,70,1987,pitcher,
6,최일언,OB,2.56,24,9,2,14,8,1,0,0.636,639,154 2/3,129,4,70,6,70,52,44,1987,pitcher,
7,윤학길,롯데,2.57,31,13,2,13,10,1,0,0.565,815,200,191,4,62,3,84,66,57,1987,pitcher,
8,김진욱,OB,2.57,32,7,2,4,7,6,0,0.364,601,150 1/3,120,3,58,3,82,49,43,1987,pitcher,
9,계형철,OB,2.61,25,5,0,8,12,0,0,0.400,633,148 1/3,122,3,74,6,53,59,43,1987,pitcher,
10,김건우,MBC,2.64,26,6,1,12,7,0,0,0.632,686,163 1/3,170,5,51,3,56,54,48,1987,pitcher,
11,김대현,해태,2.78,31,3,0,9,5,3,0,0.643,580,142 1/3,121,12,53,4,51,48,44,1987,pitcher,
12,진동한,삼성,2.81,28,2,0,12,6,2,0,0.667,596,144,144,8,49,7,34,56,45,1987,pitcher,
12,최동원,롯데,2.81,32,15,4,14,12,2,0,0.538,920,224,218,6,61,7,163,80,70,1987,pitcher,
14,장호연,OB,2.82,32,13,2,15,8,6,0,0.652,784,188 1/3,170,1,74,10,73,67,59,1987,pitcher,
15,정삼흠,MBC,2.86,33,8,3,6,13,2,0,0.316,804,195 1/3,171,10,73,7,85,68,62,1987,pitcher,
16,신동수,해태,3.03,31,2,1,5,4,0,0,0.556,524,127 2/3,112,10,53,3,67,48,43,1987,pitcher,
17,양상문,청보,3.10,36,13,3,12,13,0,0,0.480,863,209 1/3,188,18,66,5,84,87,72,1987,pitcher,
18,김시진,삼성,3.12,33,7,3,23,6,0,0,0.793,818,193 1/3,166,9,96,7,113,73,67,1987,pitcher,
19,차동철,해태,3.16,35,7,2,9,11,0,0,0.450,653,159 2/3,157,8,39,5,49,65,56,1987,pitcher,
20,성준,삼성,3.55,21,4,2,4,7,1,0,0.364,459,109,111,11,47,1,32,44,43,1987,pitcher,
21,임호균,청보,3.78,27,11,1,9,10,0,0,0.474,748,173 2/3,185,8,80,6,38,80,73,1987,pitcher,
22,김신부,청보,4.04,27,4,1,6,11,1,0,0.353,500,113 2/3,132,4,32,13,33,54,51,1987,pitcher,
23,박동수,롯데,4.24,32,8,1,9,8,3,0,0.529,601,140,165,10,27,13,71,72,66,1987,pitcher,
24,오영일,MBC,4.27,30,2,0,9,8,0,0,0.529,621,143 1/3,155,10,51,7,41,75,68,1987,pitcher,
25,김봉근,청보,4.87,27,5,0,4,11,2,0,0.267,590,135,163,12,37,4,41,82,73,1987,pitcher,
1,선동열,해태,1.21,31,9,1,16,5,10,0,0.762,674,178 1/3,116,3,35,7,200,29,24,1988,pitcher,
2,윤석환,OB,2.08,40,0,0,13,3,14,0,0.813,439,108,96,6,38,2,53,28,25,1988,pitcher,
3,최일언,OB,2.18,20,2,0,6,4,0,0,0.600,485,115 2/3,100,0,48,5,50,33,28,1988,pitcher,
4,이상군,빙그레,2.40,38,3,1,10,3,16,0,0.769,530,135,120,7,22,3,47,38,36,1988,pitcher,
5,김훈기,삼성,2.75,27,6,3,10,5,3,0,0.667,472,118,102,8,23,3,50,44,36,1988,pitcher,
6,김성길,삼성,2.80,38,2,1,8,4,6,0,0.667,615,151 1/3,150,10,31,5,62,51,47,1988,pitcher,
7,이용철,MBC,2.81,29,6,0,7,11,0,0,0.389,610,144 1/3,138,5,55,7,46,63,45,1988,pitcher,
8,이상윤,해태,2.89,30,3,1,16,6,0,0,0.727,575,137,98,3,75,4,55,56,44,1988,pitcher,
9,문희수,해태,3.02,26,4,1,8,7,3,0,0.533,458,110 1/3,101,9,33,1,55,45,37,1988,pitcher,
10,김진욱,OB,3.10,29,5,2,11,8,2,0,0.579,559,139 1/3,116,6,45,8,73,52,48,1988,pitcher,
11,한희민,빙그레,3.11,31,10,4,16,5,5,0,0.762,782,188,188,16,55,7,103,72,65,1988,pitcher,
12,윤학길,롯데,3.15,35,17,3,18,10,3,0,0.643,967,234,241,9,53,5,123,89,82,1988,pitcher,
13,성준,삼성,3.33,31,4,2,11,8,2,0,0.579,668,159 2/3,135,17,74,3,59,67,59,1988,pitcher,
14,차동철,해태,3.34,32,5,3,10,6,1,0,0.625,607,145 2/3,156,11,21,10,45,68,54,1988,pitcher,
15,오영일,MBC,3.48,28,8,0,7,11,2,0,0.389,760,176,208,9,50,5,64,83,68,1988,pitcher,
16,김시진,삼성,3.49,25,5,1,11,9,0,0,0.550,602,144 1/3,107,10,70,7,67,62,56,1988,pitcher,
17,이길환,MBC,3.53,24,3,1,10,4,0,0,0.714,517,122 1/3,131,11,32,5,28,61,48,1988,pitcher,
18,박동수,롯데,3.62,31,0,0,7,8,2,0,0.467,490,114 1/3,131,6,27,7,59,59,46,1988,pitcher,
19,계형철,OB,3.75,33,2,0,10,12,2,0,0.455,558,129 2/3,121,7,62,2,48,59,54,1988,pitcher,
20,한오종,OB,3.81,26,2,1,4,4,0,0,0.500,496,115 2/3,108,9,57,3,60,54,49,1988,pitcher,
21,양상문,태평양,3.83,38,8,1,9,12,3,0,0.429,722,169 1/3,185,12,54,2,68,89,72,1988,pitcher,
22,김대중,빙그레,3.86,23,4,1,7,7,1,0,0.500,508,119,131,9,34,13,36,54,51,1988,pitcher,
23,김신부,태평양,3.87,29,2,1,9,8,1,0,0.529,526,123 1/3,126,8,29,16,38,63,53,1988,pitcher,
24,조병천,태평양,3.94,28,4,0,2,10,1,0,0.167,546,128,134,6,44,1,40,59,56,1988,pitcher,
25,장호연,OB,3.95,36,3,1,8,12,1,0,0.400,629,146,163,12,44,6,46,76,64,1988,pitcher,
26,신완근,태평양,3.95,37,1,0,2,9,3,0,0.182,585,139,141,8,44,3,73,71,61,1988,pitcher,
27,김용남,빙그레,4.11,27,1,0,8,6,1,0,0.571,525,122 2/3,150,9,25,2,41,67,56,1988,pitcher,
28,유종겸,MBC,4.13,23,6,1,4,7,1,0,0.364,484,109,102,7,65,3,45,58,50,1988,pitcher,
29,김홍명,빙그레,4.27,24,7,1,8,13,0,0,0.381,656,151 2/3,158,8,72,4,61,75,72,1988,pitcher,
30,김대현,해태,4.54,31,3,0,7,6,2,0,0.538,585,136 2/3,136,15,44,8,47,72,69,1988,pitcher,
1,선동열,해태,1.17,36,8,6,21,3,8,0,0.875,618,169,82,2,48,7,198,27,22,1989,pitcher,
2,박정현,태평양,2.15,38,17,4,19,10,2,0,0.655,970,242 2/3,183,5,86,9,116,64,58,1989,pitcher,
3,최창호,태평양,2.22,38,11,1,10,14,2,0,0.417,916,223 1/3,169,6,114,3,191,65,55,1989,pitcher,
4,정명원,태평양,2.45,38,2,1,11,4,6,0,0.733,571,139 1/3,126,4,46,3,68,60,38,1989,pitcher,
5,한희민,빙그레,2.50,30,8,3,16,4,6,0,0.800,701,176 2/3,130,16,55,6,74,52,49,1989,pitcher,
6,이상군,빙그레,2.57,27,7,1,16,5,3,0,0.762,577,140 1/3,138,9,36,2,74,45,40,1989,pitcher,
7,윤학길,롯데,2.70,38,18,3,16,11,2,0,0.593,1013,250,221,12,68,5,141,92,75,1989,pitcher,
