FA년도,구단명,선수명,세부 포지션,인정년수,구분,FA등급,플레이년도,Age,G,GS,GR,W,L,S,BLSV,HD,BLHD,IP,ER,H,2B,3B,HR,BB,HP,SO,WP,ERA,선발 이닝,구원 이닝,선발 WAR,구원 WAR,종합 WAR,연봉,비고1,비고2
2013,SK,이재영,RP,8,신규,A,2012,33,48,0,48,6,3,1,,10,,65,31,65,,,6,35,5,46,3,4.29,,,,0.56,0.56,10000,대졸,
2014,SK,이재영,RP,8,신규,A,2013,34,44,0,44,2,4,0,1,3,0,43.2,27,39,6,0,5,24,5,35,2,5.56,0,43.2,,-0.22,-0.22,12000,대졸,
2015,SK,이재영,RP,8,신규,A,2014,35,38,0,38,1,0,0,0,4,1,48,33,45,11,1,7,28,0,42,5,6.19,0,48,,0.27,0.27,12000,대졸,
2016,SK,이재영,RP,,FA 1년차,,2015,36,26,0,26,1,0,0,0,1,0,31,16,36,12,1,4,13,3,26,1,4.65,0,31,,0.55,0.55,15000,,
2020,NC,이재학,SP,9,신규,B,2019,29,24,23,1,10,4,0,0,0,0,129.2,54,133,24,2,6,43,9,91,6,3.75,127.2,2,3.2,0.03,3.23,24500,고졸,
2021,NC,이재학,SP,9,신규,B,2020,30,19,19,0,5,6,0,0,0,0,90.2,66,105,21,1,14,43,5,61,4,6.55,90.2,0,1.01,,1.01,27500,고졸,
2022,NC,이재학,SP,9,신규,B,2021,31,17,17,0,6,6,0,0,0,0,83,48,74,16,1,14,52,6,65,3,5.2,83,0,1.65,,1.65,20000,고졸,
2023,NC,이재학,SP,9,신규,B,2022,32,26,17,9,3,8,0,0,0,0,91,48,75,14,2,5,54,8,72,6,4.75,73.2,17.1,1.34,-0.29,1.05,18000,고졸,
2024,NC,이재학,SP,,FA 1년차,,2023,33,15,13,2,5,5,0,0,0,0,67.1,34,55,5,2,6,33,5,43,7,4.54,64.1,3,1.05,0.21,1.26,20000,,
2010,롯데,이정훈,RP,9,신규,A,2009,32,57,0,57,1,3,8,,9,,74.1,25,77,,,5,28,8,50,4,3.03,,,,2.94,2.94,3600,고졸,
2011,롯데,이정훈,RP,9,신규,A,2010,33,43,0,43,3,9,1,,5,,46,35,56,,,4,19,4,27,3,6.85,,,,-0.15,-0.15,7200,고졸,
2012,넥센,이정훈,RP,9,신규,A,2011,34,44,0,44,3,3,1,,7,,52.1,22,50,,,1,19,6,31,6,3.78,,,,1.02,1.02,7200,고졸,
2013,넥센,이정훈,RP,9,신규,A,2012,35,40,0,40,4,4,1,0,8,0,44.1,23,45,,,2,17,5,32,3,4.67,,,,-0.1,-0.1,8200,고졸,
2014,넥센,이정훈,RP,,FA 1년차,,2013,36,56,0,56,5,2,1,2,11,1,69,23,69,12,3,5,24,2,29,1,3,0,69,,1.41,1.41,10000,,
2020,한화,이태양,RP,8,신규,C,2019,29,55,1,54,1,6,0,5,10,0,66.2,43,74,11,2,8,13,3,64,4,5.81,5,61.2,-0.11,-0.56,-0.68,15000,고졸,
2021,한화,이태양,RP,8,신규,C,2020,30,7,0,7,0,0,0,0,0,0,8.2,7,11,2,1,1,5,0,8,1,7.27,0,8.2,,-0.06,-0.06,14000,고졸,
2021,SK,이태양,RP,8,신규,C,2020,30,46,0,46,2,1,0,0,4,0,47.1,27,57,10,0,7,11,1,37,2,5.13,0,47.1,,0.57,0.57,14000,고졸,
2022,SSG,이태양,RP,8,신규,C,2021,31,40,14,26,5,10,0,0,4,0,103.2,66,123,23,1,25,32,1,62,2,5.73,76.2,27,0.85,-0.1,0.75,10000,고졸,
2023,SSG,이태양,SP,8,신규,C,2022,32,30,17,13,8,3,0,0,1,0,112,45,116,18,0,15,24,5,61,0,3.62,92,20,2.22,0.55,2.77,12000,고졸,
2024,한화,이태양,RP,,FA 1년차,,2023,33,50,12,38,3,3,0,0,2,0,100.1,36,100,25,6,7,21,3,72,1,3.23,50.1,50,0.83,0.95,1.78,66000,,
2014,군 복무,이현승,SP,8,신규,A,2013,30,,,,,,,,,,,,,,,,,,,,,,,,,,,대졸,
2015,두산,이현승,RP,8,신규,A,2014,31,65,3,62,3,3,0,1,15,0,55,31,68,12,2,2,23,3,39,4,5.07,11.1,43.2,0.36,0.17,0.53,11000,대졸,
2016,두산,이현승,CP,8,신규,A,2015,32,41,0,41,3,1,18,6,2,1,46.2,15,45,9,0,3,10,2,41,2,2.89,0,46.2,,0.93,0.93,15500,대졸,
2017,두산,이현승,CP,8,신규,A,2016,33,56,0,56,1,4,25,7,1,0,57.2,31,65,10,2,8,17,7,41,2,4.84,0,57.2,,-0.03,-0.03,40000,대졸,
2018,두산,이현승,CP,,FA 1년차,,2017,34,57,0,57,3,2,5,7,9,0,52,23,62,9,2,4,16,4,38,0,3.98,0,52,,0.74,0.74,40000,,
2021,LG,임찬규,SP,9,자격유지,B,2020,28,27,26,1,10,9,0,0,0,0,147.2,67,143,29,2,14,65,5,138,4,4.08,142,5.2,2.83,0.33,3.16,13500,23년 B등급,
2022,LG,임찬규,SP,9,자격유지,B,2021,29,17,17,0,1,8,0,0,0,0,90.2,39,76,9,3,7,41,3,67,5,3.87,90.2,0,1.88,,1.88,22000,23년 B등급,
2023,LG,임찬규,SP,9,자격유지,B,2022,30,23,23,0,6,11,0,0,0,0,103.2,58,113,13,3,10,39,7,75,3,5.04,103.2,0,1.16,,1.16,20000,23년 B등급,
2024,LG,임찬규,SP,9,자격유지,B,2023,31,30,26,4,14,3,0,0,1,0,144.2,55,142,22,2,10,54,5,103,1,3.42,136.2,8,3.58,0.2,3.78,17000,23년 B등급,
2025,LG,임찬규,SP,,FA 1년차,,2024,32,25,24,1,10,6,0,0,1,0,134,57,144,29,1,12,42,5,136,1,3.83,133,1,4.39,0.07,4.46,20000,,
2021,NC,임창민,RP,9,자격유지,C,2020,35,44,0,44,7,2,0,1,11,1,37.2,22,39,10,1,4,23,2,44,3,5.26,0,37.2,,-0.06,-0.06,16000,신규 35세 23년 C등급,
2022,NC,임창민,RP,9,자격유지,C,2021,36,46,0,46,0,3,0,3,17,0,40.1,17,35,8,0,2,20,4,29,7,3.79,0,40.1,,0.46,0.46,14000,신규 35세 23년 C등급,
2023,두산,임창민,RP,9,자격유지,C,2022,37,32,0,32,0,0,2,3,6,2,27.1,12,26,1,0,3,10,3,21,1,3.95,0,27.1,,-0.39,-0.39,12000,신규 35세 23년 C등급,
2024,키움,임창민,CP,9,자격유지,C,2023,38,51,0,51,2,2,26,4,1,0,46.2,13,51,6,0,3,17,2,40,0,2.51,0,46.2,,1.28,1.28,10000,신규 35세 23년 C등급,
2025,삼성,임창민,RP,,FA 1년차,,2024,39,60,0,60,2,1,1,3,28,1,54.1,24,60,10,0,4,30,2,50,5,3.98,0,54.1,,1.97,1.97,20000,,
2021,한화,장민재,RP,8,신규,C,2020,30,24,10,14,2,7,0,0,0,0,57.1,43,86,19,2,5,13,2,32,1,6.75,43,14.1,-0.34,0.41,0.07,11000,고졸,
2022,한화,장민재,SP,8,신규,C,2021,31,12,6,6,0,2,0,0,0,0,29.1,9,34,7,0,4,8,0,13,1,2.76,23.2,5.2,0.65,-0.18,0.47,10000,고졸,
2023,한화,장민재,SP,8,신규,C,2022,32,32,25,7,7,8,0,0,0,1,126.2,50,124,18,2,15,39,4,75,3,3.55,120.1,6.1,3.27,0.06,3.33,7600,고졸,
2024,한화,장민재,SP,8,신규,C,2023,33,25,13,12,3,8,0,0,1,0,69,37,79,13,2,12,22,5,61,5,4.83,57,12,-0.05,0.15,0.11,11500,고졸,
2025,한화,장민재,RP,,FA 1년차,,2024,34,26,0,26,1,1,0,0,0,1,29,10,46,7,0,2,7,1,17,5,3.1,0,29,,0.74,0.74,15000,,
2020,롯데,장시환,SP,9,신규,C,2019,32,27,27,0,6,13,0,0,0,0,125.1,69,147,29,1,12,58,2,109,17,4.95,125.1,0,1.54,,1.54,8500,35세 이상,
2021,한화,장시환,SP,9,신규,C,2020,33,26,26,0,4,14,0,0,0,0,132.2,74,139,27,1,15,74,8,115,10,5.02,132.2,0,1.87,,1.87,11000,35세 이상,
2022,한화,장시환,SP,9,신규,C,2021,34,19,16,3,0,11,0,0,1,0,69,54,87,12,1,4,48,6,47,7,7.04,67,2,-0.23,-0.12,-0.36,15400,35세 이상,
2023,한화,장시환,CP,9,신규,C,2022,35,64,0,64,0,5,14,5,9,0,63.2,31,57,14,2,4,33,1,67,2,4.38,0,63.2,,0.49,0.49,21000,35세 이상,
2024,한화,장시환,RP,,FA 1년차,,2023,36,38,0,38,2,2,1,4,7,0,34.2,13,32,4,0,1,21,4,24,3,3.38,0,34.2,,0.65,0.65,28000,,
2011,삼성,장원삼,SP,8,신규,A,2010,27,29,28,1,13,5,0,0,0,0,151,58,139,,,13,44,5,115,3,3.46,,,4.47,0.09,4.56,17000,대졸,
2012,삼성,장원삼,SP,8,신규,A,2011,28,25,21,4,8,8,0,0,0,0,115,53,139,,,13,37,0,68,1,4.15,,,1.79,-0.08,1.72,22500,대졸,
2013,삼성,장원삼,SP,8,신규,A,2012,29,27,25,2,17,6,0,0,1,0,157,62,143,,,9,38,9,127,2,3.55,,,3.22,0.09,3.31,22500,대졸,
2014,삼성,장원삼,SP,8,신규,A,2013,30,27,26,1,13,10,1,0,0,0,154,75,165,17,3,21,42,9,104,6,4.38,150,4,1.99,0.01,2,40000,대졸,
2015,삼성,장원삼,SP,,FA 1년차,,2014,31,24,24,0,11,5,0,0,0,0,129.1,59,149,33,2,16,37,5,63,6,4.11,129.1,0,3.24,,3.24,75000,,
2012,롯데,장원준,SP,9,신규,A,2011,26,29,28,1,15,6,0,,0,,180.2,63,195,,,7,62,9,129,3,3.14,,,4.97,0.4,5.38,,고졸,
2013,군 복무,장원준,SP,9,신규,A,2012,27,,,,,,,,,,,,,,,,,,,,,,,,,,,고졸,
2014,군 복무,장원준,SP,9,신규,A,2013,28,,,,,,,0,,0,,,,,,,,,,,,,,,,,,고졸,
2015,롯데,장원준,SP,9,신규,A,2014,29,27,27,0,10,9,0,0,0,0,155,79,160,27,6,15,67,3,107,9,4.59,155,0,4.68,,4.68,32000,고졸,
2016,두산,장원준,SP,,FA 1년차,,2015,30,30,30,0,12,12,0,0,0,0,169.2,77,182,35,2,13,68,14,128,2,4.08,169.2,0,3.94,,3.94,100000,,
2013,SK,정우람,CP,9,신규,A,2012,27,53,0,53,2,4,30,,0,,49,12,33,,,0,9,4,55,1,2.2,,,,1.78,1.78,,고졸,
2014,군 복무,정우람,SP,9,신규,A,2013,28,,,,,,,,,,,,,,,,,,,,,,,,,,,고졸,
2015,군 복무,정우람,SP,9,신규,A,2014,29,,,,,,,,,,,,,,,,,,,,,,,,,,,고졸,
2016,SK,정우람,CP,9,신규,A,2015,30,69,0,69,7,5,16,5,11,0,70,25,52,12,0,3,28,1,90,3,3.21,0,70,,2.15,2.15,40000,고졸,
2017,한화,정우람,CP,4,FA 1년차,A,2016,31,61,0,61,8,5,16,7,1,0,81,30,64,14,1,7,26,4,85,5,3.33,0,81,,2.74,2.74,120000,고졸,
2018,한화,정우람,CP,4,재자격,A,2017,32,56,0,56,6,4,26,5,0,0,59,18,47,10,0,5,19,4,78,5,2.75,0,59,,2.1,2.1,120000,고졸,
2019,한화,정우람,CP,4,재자격,A,2018,33,55,0,55,5,3,35,4,0,0,53,20,49,9,0,6,12,2,56,1,3.4,0,53,,1.64,1.64,120000,고졸,
2020,한화,정우람,CP,4,재자격,A,2019,34,57,0,57,4,3,26,4,0,0,58.1,10,57,8,0,4,16,1,48,2,1.54,0,58.1,,2.82,2.82,80000,고졸,
2021,한화,정우람,CP,,FA 1년차,,2020,35,50,0,50,3,5,16,3,0,0,54.1,29,58,11,1,4,12,5,53,2,4.8,0,54.1,,0.95,0.95,80000,,
2020,LG,정찬헌,CP,8,신규,B,2019,29,13,0,13,1,1,6,1,0,1,11,2,11,4,0,0,6,0,11,0,1.64,0,11,,-0.07,-0.07,17000,고졸,
2021,LG,정찬헌,SP,8,신규,B,2020,30,19,19,0,7,4,0,0,0,0,110.1,43,116,22,1,10,31,4,85,5,3.51,110.1,0,3.38,,3.38,13000,고졸,
2022,LG,정찬헌,SP,8,신규,B,2021,31,12,12,0,6,2,0,0,0,0,58,26,69,12,2,5,12,2,31,2,4.03,58,0,0.9,,0.9,20000,고졸,
2022,키움,정찬헌,SP,8,신규,B,2021,31,11,11,0,3,3,0,0,0,0,56.1,25,64,11,0,1,15,4,28,1,3.99,56.1,0,1.45,,1.45,20000,고졸,
2023,키움,정찬헌,SP,8,신규,B,2022,32,20,20,0,5,6,0,0,0,0,87.1,52,106,21,0,13,28,6,42,3,5.36,87.1,0,0.58,,0.58,28000,고졸,
2024,키움,정찬헌,SP,,FA 1년차,,2023,33,14,14,0,2,8,0,0,0,0,72,38,71,12,3,4,13,2,35,0,4.75,72,0,0.95,,0.95,10000,,
2010,삼성,정현욱,RP,9,신규,A,2009,31,62,0,62,8,5,6,0,16,0,79,30,77,,,8,36,2,66,9,3.42,,,,2.58,2.58,13000,고졸,
2011,삼성,정현욱,CP,9,신규,A,2010,32,61,0,61,9,1,12,0,11,0,70.1,25,66,,,3,26,4,61,4,3.2,,,,2.02,2.02,17000,고졸,
2012,삼성,정현욱,RP,9,신규,A,2011,33,59,0,59,4,3,1,0,24,0,72.1,19,70,,,4,30,4,52,3,2.36,,,,2.61,2.61,21000,고졸,
2013,삼성,정현욱,RP,9,신규,A,2012,34,54,1,53,2,5,0,0,3,0,62.2,22,57,,,1,21,0,48,3,3.16,,,0.19,1.12,1.32,25000,고졸,
2014,LG,정현욱,RP,,FA 1년차,,2013,35,54,0,54,2,5,2,3,16,0,47.2,20,55,9,0,4,25,1,31,3,3.78,0,47.2,,0.48,0.48,40000,,
2021,KT,주권,RP,8,신규,A,2020,25,77,0,77,6,2,0,6,31,0,70,21,54,11,0,6,32,1,37,0,2.7,0,70,,2.41,2.41,15000,고졸,
2022,KT,주권,RP,8,신규,A,2021,26,62,0,62,3,4,0,4,27,0,49,18,48,7,1,3,19,1,19,1,3.31,0,49,,1.59,1.59,25000,고졸,
2023,KT,주권,RP,8,신규,A,2022,27,58,0,58,3,3,1,1,15,0,50.2,22,58,7,1,3,8,0,31,0,3.91,0,50.2,,1.37,1.37,29500,고졸,
2024,KT,주권,RP,8,신규,A,2023,28,42,3,39,1,2,0,0,5,0,47,23,49,7,1,4,19,2,17,0,4.4,6.1,40.2,-0.26,0.67,0.41,29500,고졸,
2025,KT,주권,CP,,FA 1년차,,2024,29,48,1,47,1,1,0,2,0,0,58,43,78,14,2,7,11,3,31,0,6.67,2.2,55.1,-0.16,-0.03,-0.18,20000,,
2017,LG,진해수,RP,9,신규,A,2016,30,75,0,75,0,4,1,2,17,2,54,28,57,10,1,5,37,2,54,1,4.67,0,54,,0.18,0.18,9500,고졸,
2018,LG,진해수,RP,9,신규,A,2017,31,75,0,75,3,3,1,4,24,0,52.2,23,52,11,2,6,15,2,48,1,3.93,0,52.2,,1.06,1.06,11000,고졸,
2019,LG,진해수,RP,9,신규,A,2018,32,66,0,66,2,3,0,2,14,1,43.2,35,63,6,1,7,13,4,37,1,7.21,0,43.2,,-0.33,-0.33,19000,고졸,
2020,LG,진해수,RP,9,신규,A,2019,33,72,0,72,3,1,0,2,20,0,42,16,44,3,3,2,16,2,38,0,3.43,0,42,,0.8,0.8,18000,고졸,
2021,LG,진해수,RP,,FA 1년차,,2020,34,76,0,76,4,2,0,5,22,0,50,24,54,6,0,3,23,4,59,5,4.32,0,50,,0.99,0.99,25000,,
2014,삼성,차우찬,RP,9,신규,A,2013,26,43,12,31,10,7,0,0,3,0,121.1,44,100,21,1,6,67,6,111,10,3.26,73.1,48,1.93,1.04,2.97,,고졸,
2015,삼성,차우찬,RP,9,신규,A,2014,27,69,0,69,3,4,0,3,21,1,82,51,86,15,5,9,42,2,79,7,5.6,0,82,,0.58,0.58,24000,고졸,
2016,삼성,차우찬,SP,9,신규,A,2015,28,31,29,2,13,7,0,0,1,0,173,92,160,36,1,28,74,5,194,9,4.79,170.1,2.2,3.26,0.25,3.52,30000,고졸,
2017,삼성,차우찬,SP,9,신규,A,2016,29,24,24,0,12,6,0,0,0,0,152.1,80,168,30,2,16,65,8,120,5,4.73,152.1,0,3.76,,3.76,40000,고졸,
2018,LG,차우찬,SP,4,FA 1년차,B,2017,30,28,28,0,10,7,0,0,0,0,175.2,67,171,33,4,20,38,7,157,10,3.43,175.2,0,5.76,,5.76,100000,고졸,
2019,LG,차우찬,SP,4,재자격,B,2018,31,29,29,0,12,10,0,0,0,0,170,115,177,36,4,27,79,10,136,10,6.09,170,0,1.55,,1.55,100000,고졸,
2020,LG,차우찬,SP,4,재자격,B,2019,32,29,28,1,13,8,0,0,0,0,168.1,77,181,30,1,16,59,5,124,13,4.12,166.1,2,2.64,-0.24,2.41,100000,고졸,
2021,LG,차우찬,SP,4,재자격,B,2020,33,13,13,0,5,5,0,0,0,0,64,38,71,14,1,8,28,2,51,1,5.34,64,0,0.56,,0.56,100000,고졸,
2022,LG,차우찬,SP,,FA 1년차,,2021,34,5,5,0,2,1,0,0,0,0,22.1,13,16,3,0,2,13,3,12,0,5.24,22.1,0,0.33,,0.33,30000,,
2013,SK,채병용,SP,9,신규,A,2012,30,14,10,4,3,3,0,,0,,62.2,22,67,,,3,22,1,42,1,3.16,,,1.72,-0.15,1.57,18000,고졸,
2014,SK,채병용,RP,9,신규,A,2013,31,12,2,10,0,3,1,0,0,1,20.1,18,30,6,0,2,16,3,12,1,7.97,7.2,12.2,-0.11,0.04,-0.07,16000,고졸,
2015,SK,채병용,SP,9,신규,A,2014,32,27,24,3,8,12,0,1,0,0,130,92,151,32,2,27,49,8,87,2,6.37,124.1,5.2,1.57,0.26,1.84,13500,고졸,
2016,SK,채병용,RP,9,신규,A,2015,33,33,8,25,4,4,0,0,1,0,83,56,103,17,2,17,27,3,78,4,6.07,33.1,49.2,-0.25,0.58,0.33,22000,고졸,
2017,SK,채병용,RP,,FA 1년차,,2016,34,68,0,68,6,3,2,1,9,1,83.2,40,77,14,1,9,29,3,67,2,4.3,0,83.2,,2.46,2.46,25000,,
2020,키움,한현희,RP,9,신규,A,2019,26,61,0,61,7,5,0,3,24,3,58,22,50,10,1,1,20,7,49,2,3.41,0,58,,1.32,1.32,32000,고졸,
2021,키움,한현희,SP,9,신규,A,2020,27,25,25,0,7,9,0,0,0,0,135.2,75,141,20,1,10,37,14,109,3,4.98,135.2,0,2.9,,2.9,29000,고졸,
2022,키움,한현희,SP,9,신규,A,2021,28,18,15,3,6,2,0,0,1,0,85.2,37,86,20,0,4,30,6,61,3,3.89,81,4.2,2.15,0.1,2.24,29000,고졸,
2023,키움,한현희,SP,9,신규,A,2022,29,21,14,7,6,4,0,0,0,0,77.2,41,83,20,1,9,24,8,59,2,4.75,69,8.2,1.09,0.03,1.12,25000,고졸,
2024,롯데,한현희,RP,,FA 1년차,,2023,30,38,18,20,6,12,0,1,3,2,104,63,123,20,4,11,44,11,74,6,5.45,86.1,17.2,1.22,-0.42,0.79,20000,,
2021,두산,함덕주,CP,8,신규,B,2020,25,36,6,30,5,1,10,3,2,1,55.1,24,55,7,0,2,21,0,55,7,3.9,25.1,30,0.59,0.45,1.04,21000,고졸,
2022,LG,함덕주,RP,8,신규,B,2021,26,16,3,13,1,2,0,0,1,0,21,10,20,2,1,2,13,3,18,2,4.29,8.1,12.2,0.02,0.3,0.32,16500,고졸,
2023,LG,함덕주,RP,8,신규,B,2022,27,13,0,13,0,0,0,0,0,0,12.2,3,9,2,0,0,11,1,13,0,2.13,0,12.2,,0.44,0.44,12000,고졸,
2024,LG,함덕주,RP,8,신규,B,2023,28,57,0,57,4,0,4,0,16,2,55.2,10,32,9,1,1,22,2,59,0,1.62,0,55.2,,2.67,2.67,10000,고졸,
2025,LG,함덕주,RP,,FA 1년차,,2024,29,15,0,15,0,1,0,0,3,0,11.2,7,13,0,1,2,7,1,8,0,5.4,0,11.2,,0.32,0.32,20000,,
2021,KIA,홍건희,RP,8,신규,A,2020,28,10,0,10,0,0,0,0,0,0,12,8,11,2,2,3,2,0,9,0,6,0,12,,0.07,0.07,5300,고졸,
2021,두산,홍건희,RP,8,신규,A,2020,28,50,0,50,3,4,1,3,8,1,56.2,30,63,12,1,5,20,5,51,3,4.76,0,56.2,,0.25,0.25,5300,고졸,
2022,두산,홍건희,RP,8,신규,A,2021,29,65,0,65,6,6,3,5,17,2,74.1,23,65,11,0,3,27,0,82,7,2.78,0,74.1,,2.67,2.67,11000,고졸,
2023,두산,홍건희,CP,8,신규,A,2022,30,58,0,58,2,9,18,4,9,0,62,24,58,9,0,5,21,2,60,4,3.48,0,62,,0.49,0.49,25000,고졸,
2024,두산,홍건희,CP,8,신규,A,2023,31,64,0,64,1,5,22,3,5,0,61.2,21,67,10,3,4,24,0,62,8,3.06,0,61.2,,1.23,1.23,30000,고졸,
2025,두산,홍건희,CP,,FA 1년차,,2024,32,65,0,65,4,3,9,6,11,0,59.1,18,55,6,1,5,33,5,45,5,2.73,0,59.1,,1.59,1.59,30000,,