Name,Year,PA,wRC+
,,,
강민호,2005,230,56.5
강민호,2006,460,84.8
강민호,2007,474,110.5
강민호,2008,501,134.5
강민호,2009,301,91
강민호,2010,465,134.4
강민호,2011,506,130.3
강민호,2012,454,132.9
강민호,2013,405,99.2
강민호,2014,360,85
강민호,2015,456,163
강민호,2016,460,142.2
강민호,2017,515,107.3
강민호,2018,477,84
강민호,2019,393,91.6
강민호,2020,393,106.8
강민호,2021,462,122.4
강민호,2022,444,102
강민호,2023,495,123.5
강민호,2024,452,115.6
강민호,2025,134,106.3
강한울,2014,224,51
강한울,2015,292,19.1
강한울,2016,322,57.8
강한울,2017,448,71.4
강한울,2018,209,49.7
강한울,2020,122,93.7
강한울,2021,258,71.3
강한울,2022,252,115.3
강한울,2023,240,48.9
강한울,2024,25,-81.5
고영민,2002,10,-97.1
고영민,2003,13,-0.5
고영민,2005,18,-68.5
고영민,2006,359,104.4
고영민,2007,536,122.7
고영민,2008,528,120
고영민,2009,331,69.7
고영민,2010,344,55.8
고영민,2011,208,54.7
고영민,2012,173,112.7
고영민,2013,17,139.3
고영민,2014,108,80.1
고영민,2015,77,137.9
고영민,2016,5,142.8
고종욱,2011,111,77.3
고종욱,2014,14,-68.1
고종욱,2015,443,102.4
고종욱,2016,566,104.7
고종욱,2017,453,102
고종욱,2018,351,71.8
고종욱,2019,513,108.2
고종욱,2020,288,75
고종욱,2021,199,73
고종욱,2022,114,108.5
고종욱,2023,286,99.6
고종욱,2024,36,92
권용관,1996,37,-25.1
권용관,1997,60,36.5
권용관,2001,212,61.9
권용관,2002,327,39.6
권용관,2003,232,7
권용관,2004,341,65.2
권용관,2005,215,76.3
권용관,2006,240,63.7
권용관,2007,398,69.6
권용관,2008,230,37.7
권용관,2009,431,61.6
권용관,2010,180,62.4
권용관,2011,68,71.8
권용관,2012,5,-11.9
권용관,2013,122,107.8
권용관,2014,21,-41.8
권용관,2015,341,44
권용관,2016,49,63.6
권희동,2013,397,66
권희동,2014,252,98.1
권희동,2016,47,84.7
권희동,2017,554,113.1
권희동,2018,391,94.8
권희동,2019,413,99.8
권희동,2020,426,110.1
권희동,2021,171,143.5
권희동,2022,280,89
권희동,2023,373,128.2
권희동,2024,511,137.9
권희동,2025,120,155.3
김강민,2003,4,211.4
김강민,2004,29,13.4
김강민,2005,48,54.9
김강민,2006,166,112.5
김강민,2007,374,73.7
김강민,2008,295,109.5
김강민,2009,382,85.9
김강민,2010,450,124.5
김강민,2011,310,104.5
김강민,2012,474,94.8
김강민,2013,397,121.5
김강민,2014,483,111.8
김강민,2015,328,66.9
김강민,2016,422,101.5
김강민,2017,203,57.5
김강민,2018,267,124.4
김강민,2019,460,87.3
김강민,2020,327,91.2
김강민,2021,260,96.1
김강민,2022,202,129.1
김강민,2023,166,78.3
김강민,2024,87,58.8
김경언,2001,109,99.3
김경언,2002,323,111.6
김경언,2003,388,87.6
김경언,2004,220,74.4
김경언,2005,202,93.7
김경언,2006,114,32.1
김경언,2008,20,-18.7
김경언,2009,2,200.7
김경언,2010,184,89
김경언,2011,204,84.2
김경언,2012,313,105.5
김경언,2013,249,104.1
김경언,2014,355,118
김경언,2015,437,140.4
김경언,2016,217,90.8
김경언,2017,118,95.2
김민성,2007,1,-178.7
김민성,2008,28,8.5
김민성,2009,389,82.4
김민성,2010,223,41.7
김민성,2011,373,66.1
김민성,2012,254,106.2
김민성,2013,523,109.5
김민성,2014,486,89
김민성,2015,489,104.4
김민성,2016,579,111.6
김민성,2017,530,95.6
김민성,2018,465,94
김민성,2019,401,97.6
김민성,2020,333,90.8
김민성,2021,426,83.9
김민성,2022,157,59.4
김민성,2023,316,100.7
김민성,2024,84,79.9
김민성,2025,86,76.7
김민식,2015,26,-4.5
김민식,2016,170,84.3
김민식,2017,392,43.1
김민식,2018,365,75.9
김민식,2019,116,41.2
김민식,2020,238,63.8
김민식,2021,301,76.5
김민식,2022,266,75.5
김민식,2023,318,70.5
김민식,2024,126,56.5
김상수,2009,267,63.6
김상수,2010,338,71.8
김상수,2011,476,103.5
김상수,2012,489,103
김상수,2013,422,110.2
김상수,2014,493,93.9
김상수,2015,518,94.4
김상수,2016,401,61.6
김상수,2017,154,59.1
김상수,2018,499,64.1
김상수,2019,543,97.6
김상수,2020,471,112.4
김상수,2021,496,67.5
김상수,2022,260,69.9
김상수,2023,512,95.3
김상수,2024,420,91.5
김상수,2025,74,99.9
김상현,2001,20,-26.6
김상현,2002,42,156.8
김상현,2003,209,102.3
김상현,2004,316,84
김상현,2007,434,83.1
김상현,2008,243,92.5
김상현,2009,496,151.8
김상현,2010,330,83.1
김상현,2011,405,100
김상현,2012,126,107.4
김상현,2013,360,74.2
김상현,2014,87,92.5
김상현,2015,539,106.9
김상현,2016,246,61.1
김선빈,2008,322,73.2
김선빈,2009,129,95.8
김선빈,2010,406,98.6
김선빈,2011,412,119
김선빈,2012,532,120.2
김선빈,2013,363,103.4
김선빈,2014,98,54.7
김선빈,2016,27,129
김선빈,2017,529,136
김선빈,2018,492,93.9
김선빈,2019,447,104.5
김선빈,2020,351,121.1
김선빈,2021,564,115
김선빈,2022,587,109.9
김선빈,2023,473,114.9
김선빈,2024,466,117.4
김선빈,2025,84,146.1
김성현,2006,1,649.5
김성현,2008,5,-20
김성현,2011,10,-148
김성현,2012,191,86.4
김성현,2013,181,55.1
김성현,2014,476,92.1
김성현,2015,449,96
김성현,2016,530,97.3
김성현,2017,429,69.8
김성현,2018,462,74.5
김성현,2019,472,62.7
김성현,2020,392,74.1
김성현,2021,274,107.9
김성현,2022,359,57.4
김성현,2023,354,79.6
김성현,2024,167,60.3
김성현,2025,75,84.4
김용의,2008,32,21.9
김용의,2012,219,70.4
김용의,2013,348,98.6
김용의,2014,208,55.6
김용의,2015,199,58.1
김용의,2016,347,114.8
김용의,2017,189,79.8
김용의,2018,185,40.7
김용의,2019,210,74.1
김용의,2020,75,68
김용의,2021,41,79.9
김원섭,2001,42,25.4
김원섭,2003,17,61.4
김원섭,2004,41,68.9
김원섭,2005,26,-108.7
김원섭,2006,213,139.3
김원섭,2007,360,89.2
김원섭,2008,404,131.3
김원섭,2009,426,127.7
김원섭,2010,428,91.3
김원섭,2011,316,103.6
김원섭,2012,472,152.8
김원섭,2013,119,79.6
김원섭,2014,101,70.5
김원섭,2015,341,106.3
김원섭,2016,90,67.4
김재호,2004,9,-175.6
김재호,2005,31,85.5
김재호,2008,292,80.4
김재호,2009,205,70.8
김재호,2010,102,76.6
김재호,2011,122,14.8
김재호,2012,200,48.8
김재호,2013,286,119.5
김재호,2014,421,73.9
김재호,2015,488,113.3
김재호,2016,496,115.5
김재호,2017,331,115.9
김재호,2018,467,127.4
김재호,2019,470,118.9
김재호,2020,458,99.7
김재호,2021,251,60.2
김재호,2022,264,63.4
김재호,2023,302,123
김재호,2024,154,112.2
김재환,2008,21,-60.2
김재환,2011,56,22
김재환,2012,43,4
김재환,2014,96,119.1
김재환,2015,180,100.7
김재환,2016,568,162.3
김재환,2017,636,169.9
김재환,2018,602,169.6
김재환,2019,574,129.3
김재환,2020,614,136.9
김재환,2021,566,151.7
김재환,2022,517,129.8
김재환,2023,484,98.8
김재환,2024,552,132
김재환,2025,123,127.9
김주찬,2000,52,121.1
김주찬,2001,333,117.5
김주찬,2002,291,62.6
김주찬,2003,131,-4.2
김주찬,2004,503,70.3
김주찬,2007,416,68.9
김주찬,2008,458,112
김주찬,2009,479,107.2
김주찬,2010,535,86.8
김주찬,2011,371,120.9
김주찬,2012,488,117.2
김주찬,2013,195,116.3
김주찬,2014,442,122.1
김주찬,2015,377,136.2
김주찬,2016,555,134.5
김주찬,2017,478,117.5
김주찬,2018,471,119.7
김주찬,2019,363,93.9
김주찬,2020,18,110
김태군,2008,3,88.5
김태군,2009,118,32.1
김태군,2010,57,48.5
김태군,2011,53,44
김태군,2012,175,24.7
김태군,2013,315,44.8
김태군,2014,322,44.1
김태군,2015,474,66.5
김태군,2016,395,42.4
김태군,2017,420,77.2
김태군,2019,28,72.9
김태군,2020,131,87
김태군,2021,276,74.6
김태군,2022,235,105.7
김태군,2023,346,66.2
김태군,2024,270,85.3
김태군,2025,62,62.2
김태균,2001,289,181.2
김태균,2002,344,99.9
김태균,2003,573,165.8
김태균,2004,556,158.4
김태균,2005,529,162.5
김태균,2006,511,162.9
김태균,2007,491,165.8
김태균,2008,484,186.6
김태균,2009,389,146.2
김태균,2012,513,204.3
김태균,2013,430,160
김태균,2014,508,156.9
김태균,2015,524,158.2
김태균,2016,652,165.8
김태균,2017,407,144.1
김태균,2018,271,105.5
김태균,2019,500,119.1
김태균,2020,254,67.7
김현수,2006,1,-173
김현수,2007,353,105.2
김현수,2008,558,191.3
김현수,2009,572,176.3
김현수,2010,565,155.2
김현수,2011,561,134.5
김현수,2012,491,120
김현수,2013,510,138.6
김현수,2014,528,125.5
김현수,2015,630,163
김현수,2018,511,158.5
김현수,2019,595,130.5
김현수,2020,619,153.7
김현수,2021,595,132.2
김현수,2022,604,146.5
김현수,2023,556,114.4
김현수,2024,583,104.7
김현수,2025,126,143.1
나성범,2013,458,98.6
나성범,2014,536,149.8
나성범,2015,622,134.3
나성범,2016,653,125.1
나성범,2017,561,153.8
나성범,2018,620,123.4
나성범,2019,106,198.2
나성범,2020,584,151.4
나성범,2021,623,121.4
나성범,2022,649,161.8
나성범,2023,253,209.8
나성범,2024,424,118.4
나성범,2025,110,116.3
나주환,2003,118,11.1
나주환,2004,63,118.5
나주환,2005,200,80.1
나주환,2006,271,68.6
나주환,2007,331,69.4
나주환,2008,413,68.9
나주환,2009,454,103.5
나주환,2010,353,90.9
나주환,2013,24,-84.5
나주환,2014,478,74.8
나주환,2015,273,72
나주환,2016,65,179.8
나주환,2017,452,97.9
나주환,2018,420,87.4
나주환,2019,245,50.1
나주환,2020,222,81.7
나주환,2021,32,-41.6
나지완,2008,239,138.1
나지완,2009,457,107.2
나지완,2010,384,81.5
나지완,2011,331,148.7
나지완,2012,480,124.9
나지완,2013,522,138
나지완,2014,470,125.6
나지완,2015,368,100
나지완,2016,486,159.6
나지완,2017,551,139.7
나지완,2018,379,134.1
나지완,2019,153,83.6
나지완,2020,556,124.6
나지완,2021,102,53
나지완,2022,1,-141
노진혁,2013,361,57.1
노진혁,2014,16,26
노진혁,2015,42,-59.1
노진혁,2017,7,75.1
노진혁,2018,458,86.3
노진혁,2019,390,106.5
노진혁,2020,484,115.8
노진혁,2021,384,118.8
노진혁,2022,451,123.7
노진혁,2023,390,103.2
노진혁,2024,157,51
모창민,2008,147,55.4
모창민,2009,130,71.2
모창민,2010,67,24.4
모창민,2012,36,97.4
모창민,2013,436,109
모창민,2014,468,75.7
모창민,2015,239,99.5
모창민,2016,147,120.7
모창민,2017,527,112.5
모창민,2018,314,99.6
모창민,2019,386,120.7
모창민,2020,149,100.6
모창민,2021,6,-49.5
문규현,2002,1,-172.8
문규현,2003,44,33.5
문규현,2004,3,-176.7
문규현,2007,19,-138.1
문규현,2009,18,-16.7
문규현,2010,201,65.2
문규현,2011,379,71.2
문규현,2012,277,35.7
문규현,2013,116,47.2
문규현,2014,275,77.1
문규현,2015,298,42.6
문규현,2016,368,66.6
문규현,2017,337,62.7
문규현,2018,349,68.5
문규현,2019,72,39.9
민병헌,2006,64,8.1
민병헌,2007,372,75
민병헌,2008,101,15
민병헌,2009,291,64.2
민병헌,2010,80,96.1
민병헌,2012,8,-41.7
민병헌,2013,449,141.5
민병헌,2014,527,131
민병헌,2015,561,113.2
민병헌,2016,579,133.2
민병헌,2017,520,124.7
민병헌,2018,494,109.3
민병헌,2019,420,130.4
민병헌,2020,342,48.8
민병헌,2021,49,47.2
박건우,2009,5,-27.7
박건우,2013,51,63
박건우,2014,66,17.2
박건우,2015,175,144.6
박건우,2016,540,139
박건우,2017,543,168.6
박건우,2018,529,118.5
박건우,2019,537,153.1
박건우,2020,551,133
박건우,2021,525,143.3
박건우,2022,463,147.3
박건우,2023,533,149.2
박건우,2024,362,150.1
박건우,2025,44,157.2
박경수,2003,197,96.9
박경수,2004,388,100
박경수,2005,133,52.5
박경수,2006,383,65.8
박경수,2007,295,88.9
박경수,2008,444,87.6
박경수,2009,344,97.1
박경수,2010,286,105.7
박경수,2011,386,79.3
박경수,2014,201,74.1
박경수,2015,537,130.1
박경수,2016,476,129.7
박경수,2017,511,96.5
박경수,2018,528,105.8
박경수,2019,490,96.9
박경수,2020,391,121.1
박경수,2021,280,73.6
박경수,2022,194,19.6
박경수,2023,221,71.3
박경수,2024,3,354.6
박기혁,2000,3,82
박기혁,2001,61,-14.7
박기혁,2002,146,58.4
박기혁,2003,321,64.4
박기혁,2004,386,41
박기혁,2005,382,104.3
박기혁,2006,371,88.9
박기혁,2007,320,65.2
박기혁,2008,404,107.7
박기혁,2009,346,36.7
박기혁,2010,166,21.1
박기혁,2013,70,41.2
박기혁,2014,63,27.2
박기혁,2015,350,73.9
박기혁,2016,348,64.8
박기혁,2017,263,49
박기혁,2018,196,31.3
박동원,2010,2,-165.6
박동원,2013,106,32.3
박동원,2014,198,71.1
박동원,2015,443,88.1
박동원,2016,454,70.1
박동원,2017,284,89.6
박동원,2018,128,78
박동원,2019,361,132.1
박동원,2020,372,103.9
박동원,2021,481,119.5
박동원,2022,447,118.5
박동원,2023,481,117.7
박동원,2024,498,111
박동원,2025,130,194.1
박민우,2013,47,65
박민우,2014,491,105.6
박민우,2015,617,116
박민우,2016,515,124.2
박민우,2017,452,143.7
박민우,2018,460,107.6
박민우,2019,526,132.9
박민우,2020,530,131
박민우,2021,215,94.8
박민우,2022,451,101.2
박민우,2023,509,123.4
박민우,2024,528,129.6
박민우,2025,117,122.8
박병호,2005,185,39.5
박병호,2006,142,26.8
박병호,2009,213,63.1
박병호,2010,192,60.4
박병호,2011,230,130.5
박병호,2012,560,171.1
박병호,2013,556,169.8
박병호,2014,571,164.6
박병호,2015,622,184.1
박병호,2018,488,192.1
박병호,2019,532,171.8
박병호,2020,383,113.1
박병호,2021,477,104.7
박병호,2022,487,145.8
박병호,2023,493,118.2
박병호,2024,406,96.6
박병호,2025,127,122.2
박석민,2004,32,-20.1
박석민,2005,92,37.5
박석민,2008,499,134.4
박석민,2009,375,137.7
박석민,2010,457,149.9
박석민,2011,537,124.6
박석민,2012,549,171.3
박석민,2013,474,162.6
박석민,2014,425,153.5
박석민,2015,559,159
박석민,2016,506,143.8
박석민,2017,382,110.1
박석민,2018,375,103.9
박석민,2019,444,141.9
박석민,2020,448,143.2
박석민,2021,205,126.1
박석민,2022,58,49.9
박석민,2023,107,66.4
박세혁,2012,6,154.9
박세혁,2013,31,85.6
박세혁,2016,210,58.4
박세혁,2017,237,101
박세혁,2018,194,98.7
박세혁,2019,505,113.7
박세혁,2020,423,96.6
박세혁,2021,270,55.7
박세혁,2022,402,83
박세혁,2023,283,83.5
박세혁,2024,171,82.4
박세혁,2025,28,-8.3
박용택,2002,424,129.9
박용택,2003,555,82.5
박용택,2004,435,122.5
박용택,2005,523,112.9
박용택,2006,534,142.2
박용택,2007,532,112.6
박용택,2008,374,83.9
박용택,2009,506,161.9
박용택,2010,420,118.1
박용택,2011,450,119
박용택,2012,556,139.3
박용택,2013,539,126.6
박용택,2014,549,135.2
박용택,2015,533,128.2
박용택,2016,578,129.7
박용택,2017,596,143.2
박용택,2018,583,113.2
박용택,2019,215,93.3
박용택,2020,236,99.8
박재상,2001,4,-163.4
박재상,2005,49,-33.9
박재상,2006,201,98.6
박재상,2007,368,124.9
박재상,2008,363,104.3
박재상,2009,614,119.8
박재상,2010,384,90.9
박재상,2011,352,96.6
박재상,2012,322,77.1
박재상,2013,305,94.4
박재상,2014,77,56.1
박재상,2015,292,88.8
박재상,2016,288,97.4
최재훈,2012,104,39.5
최재훈,2013,108,114.2
최재훈,2014,125,47.5
최재훈,2015,114,1.8
최재훈,2016,22,24.4
최재훈,2017,8,178.1
최재훈,2017,301,71.1
최재훈,2018,341,70.2
최재훈,2019,451,125.4
최재훈,2020,389,112.3
최재훈,2021,467,133
최재훈,2022,437,90.9
최재훈,2023,417,111.6
최재훈,2024,348,96.6
최재훈,2025,74,135.7
최정,2005,93,71.4
최정,2006,304,72.5
최정,2007,462,110.3
최정,2008,476,151.2
최정,2009,410,103.7
최정,2010,493,140.5
최정,2011,488,149.5
최정,2012,553,155.7
최정,2013,525,157.7
최정,2014,361,127.6
최정,2015,330,142.7
최정,2016,606,141.2
최정,2017,527,169.6
최정,2018,489,122
최정,2019,606,154.4
최정,2020,553,141.3
최정,2021,555,161.3
최정,2022,505,150.4
최정,2023,552,157.6
최정,2024,550,145.9
최정,2025,19,252.1
최주환,2006,3,-172.6
최주환,2007,3,-173.6
최주환,2008,16,136.6
최주환,2009,11,-151.8
최주환,2012,238,106.1
최주환,2013,100,113.4
최주환,2014,211,88.1
최주환,2015,270,106.2
최주환,2016,182,83.1
최주환,2017,452,110.9
최주환,2018,590,150.5
최주환,2019,325,95.3
최주환,2020,574,127.9
최주환,2021,470,112.4
최주환,2022,333,77.5
최주환,2023,478,99.3
최주환,2024,544,86.1
최주환,2025,152,119.8
최준석,2002,3,86.5
최준석,2004,20,58.2
최준석,2005,309,79.8
최준석,2006,355,107.6
최준석,2007,451,110
최준석,2008,195,81.9
최준석,2009,417,122.8
최준석,2010,482,151.3
최준석,2011,485,122.2
최준석,2012,278,90
최준석,2013,263,114.9
최준석,2014,460,123.6
최준석,2015,618,144.3
최준석,2016,396,104.8
최준석,2017,464,98.7
최준석,2018,179,83.2
최진행,2004,239,74.7
최진행,2005,1,-154.4
최진행,2008,4,-163.2
최진행,2009,65,58.4
최진행,2010,524,114.4
최진행,2011,511,119.6
최진행,2012,471,132.5
최진행,2013,422,134.6
최진행,2014,328,77.6
최진행,2015,410,135.1
최진행,2016,85,122.8
최진행,2017,289,134.3
최진행,2018,154,71.7
최진행,2019,129,98.2
최진행,2020,240,74.4
최형우,2002,6,234.9
최형우,2004,2,-166.7
최형우,2008,440,133.9
최형우,2009,481,118.3
최형우,2010,506,138.7
최형우,2011,571,183.5
최형우,2012,531,122.3
최형우,2013,573,136.3
최형우,2014,493,167.3
최형우,2015,637,144.1
최형우,2016,618,172.7
최형우,2017,629,162.9
최형우,2018,609,142.9
최형우,2019,555,152.8
최형우,2020,600,171.3
최형우,2021,446,105.8
최형우,2022,530,125.9
최형우,2023,508,159.4
최형우,2024,487,119
최형우,2025,132,163
한상훈,2003,303,26.9
한상훈,2004,162,16.7
한상훈,2005,189,54.9
한상훈,2006,187,79.9
한상훈,2007,363,93.5
한상훈,2008,360,56.8
한상훈,2011,485,94.9
한상훈,2012,344,97.7
한상훈,2013,322,102.9
한상훈,2014,203,83.9
한상훈,2015,75,65.3
허경민,2012,173,76.9
허경민,2013,276,114.5
허경민,2014,233,67.3
허경민,2015,453,101.7
허경민,2016,609,94.1
허경민,2017,422,77.7
허경민,2018,577,115.3
허경민,2019,540,107.7
허경민,2020,487,131.4
허경민,2021,518,96.1
허경민,2022,493,122.1
허경민,2023,475,98.5
허경민,2024,477,122
허경민,2025,116,103.9
허도환,2011,191,44.2
허도환,2012,237,43
허도환,2013,323,64.3
허도환,2014,220,56.2
허도환,2015,106,39.4
허도환,2016,93,60.2
허도환,2017,49,81.1
허도환,2018,24,82
허도환,2019,93,3.5
허도환,2020,62,78.7
허도환,2021,125,100.2
허도환,2022,92,70.7
허도환,2023,81,46
허도환,2024,105,44.6
홍성흔,1999,392,77.9
홍성흔,2000,484,91.6
홍성흔,2001,452,71.6
홍성흔,2002,484,119.2
홍성흔,2003,263,99.4
홍성흔,2004,552,137.6
홍성흔,2005,433,96.8
홍성흔,2006,424,115.9
홍성흔,2007,274,100
홍성흔,2008,460,127.7
홍성흔,2009,487,162.4
홍성흔,2010,498,174.3
홍성흔,2011,535,124.5
홍성흔,2012,443,141.9
홍성흔,2013,538,140.1
홍성흔,2014,521,133.7
홍성흔,2015,352,99
홍성흔,2016,45,66
황재균,2007,171,95.6
황재균,2008,333,51.7
황재균,2009,608,103.4
황재균,2010,353,69.2
황재균,2011,458,117.8
황재균,2012,504,97.5
황재균,2013,559,100.8
황재균,2014,550,108.7
황재균,2015,596,109.8
황재균,2016,559,128.2
황재균,2018,588,117
황재균,2019,507,127
황재균,2020,600,129.5
황재균,2021,507,107.9
황재균,2022,581,97.1
황재균,2023,457,116
황재균,2024,536,72.2
황재균,2025,118,73.2
채은성,2014,197,106.3
채은성,2015,198,83.4
채은성,2016,451,106.8
채은성,2017,372,73.3
채은성,2018,578,136.4
채은성,2019,514,127
채은성,2020,464,115.8
채은성,2021,448,128.9
채은성,2022,526,128.1
채은성,2023,596,117
채은성,2024,498,108.9
채은성,2025,141,96.3
채태인,2007,84,56.3
채태인,2008,270,104.7
채태인,2009,425,126.9
채태인,2010,396,111.1
채태인,2011,218,94.7
채태인,2012,159,78.3
채태인,2013,342,175.9
채태인,2014,541,110.2
채태인,2015,373,127.9
